@TEMPLATE,@NAME,@EXPORTFLAG,@VALIDATED,@DESCRIPTION,@DATEVALIDATED,@WHENCREATED,@TYPE,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:21,,0,c4494985bcac11eb8100000d3a02ed0d,2021-05-24T16:26:21,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494986bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:21,,0,c449498abcac11eb8100000d3a02ed0d,2021-05-24T16:26:21,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c449497dbcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:21,,0,c449498dbcac11eb8100000d3a02ed0d,2021-05-24T16:26:21,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c449497ebcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:21,,0,c4494990bcac11eb8100000d3a02ed0d,2021-05-24T16:26:21,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c449497fbcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:22,,0,c4494993bcac11eb8100000d3a02ed0d,2021-05-24T16:26:22,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494980bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:22,,0,c449499dbcac11eb8100000d3a02ed0d,2021-05-24T16:26:22,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,e22320482e1f11e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:22,,0,c44949a0bcac11eb8100000d3a02ed0d,2021-05-24T16:26:22,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494995bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:22,,0,c44949a3bcac11eb8100000d3a02ed0d,2021-05-24T16:26:22,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494996bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:23,,0,c44949a6bcac11eb8100000d3a02ed0d,2021-05-24T16:26:23,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494997bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:23,,0,c44949a9bcac11eb8100000d3a02ed0d,2021-05-24T16:26:23,fa2cdc7e637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494998bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:23,,0,c44949b7bcac11eb8100000d3a02ed0d,2021-05-24T16:26:23,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,c44949b8bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:23,,0,c44949bcbcac11eb8100000d3a02ed0d,2021-05-24T16:26:23,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,c44949abbcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:24,,0,c44949bfbcac11eb8100000d3a02ed0d,2021-05-24T16:26:24,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,c44949acbcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:24,,0,c44949c2bcac11eb8100000d3a02ed0d,2021-05-24T16:26:24,f2c7e678637011e4925a6817294aebff,FRAMEWORXCATEGORY,c44949adbcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
