@TYPE,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@WHENCREATED,@DESCRIPTION,@EXPORTFLAG,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82b736211ea80ee000d3a02ed0d,,0,4e3c7f0f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82c736211ea80ee000d3a02ed0d,,0,4e3c7f21736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82d736211ea80ee000d3a02ed0d,,0,4e3c7f33736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82e736211ea80ee000d3a02ed0d,,0,4e3c7f35736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82f736211ea80ee000d3a02ed0d,,0,4e3c7f37736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec830736211ea80ee000d3a02ed0d,,0,4e3c7f3d736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec831736211ea80ee000d3a02ed0d,,0,4e3c7f3f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec832736211ea80ee000d3a02ed0d,,0,4e3c7f41736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec833736211ea80ee000d3a02ed0d,,0,4e3c7f47736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec834736211ea80ee000d3a02ed0d,,0,4e3c7f49736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec835736211ea80ee000d3a02ed0d,,0,4e3c7f4b736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec836736211ea80ee000d3a02ed0d,,0,4e3c7f4d736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec837736211ea80ee000d3a02ed0d,,0,4e3c7f4f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f3b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec838736211ea80ee000d3a02ed0d,,0,4e3c7f57736211ea80ee000d3a02ed0d,ENTITY,4e3c7f55736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec839736211ea80ee000d3a02ed0d,,0,4e3c7f59736211ea80ee000d3a02ed0d,ENTITY,4e3c7f55736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec83a736211ea80ee000d3a02ed0d,,0,4e3c7f6d736211ea80ee000d3a02ed0d,ENTITY,4e3c7f6b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:29,,0,2020-03-31T15:18:29,dcfec83b736211ea80ee000d3a02ed0d,,0,4e3c7f6f736211ea80ee000d3a02ed0d,ENTITY,4e3c7f6b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec83c736211ea80ee000d3a02ed0d,,0,4e3c7f71736211ea80ee000d3a02ed0d,ENTITY,4e3c7f6b736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec83d736211ea80ee000d3a02ed0d,,0,4e3c7f79736211ea80ee000d3a02ed0d,ENTITY,4e3c7f77736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec83e736211ea80ee000d3a02ed0d,,0,543572ed736211ea80ee000d3a02ed0d,ENTITY,543572eb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec83f736211ea80ee000d3a02ed0d,,0,543572ef736211ea80ee000d3a02ed0d,ENTITY,543572eb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec840736211ea80ee000d3a02ed0d,,0,543572f5736211ea80ee000d3a02ed0d,ENTITY,543572f3736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec841736211ea80ee000d3a02ed0d,,0,543572f9736211ea80ee000d3a02ed0d,ENTITY,543572f7736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec842736211ea80ee000d3a02ed0d,,0,543572fd736211ea80ee000d3a02ed0d,ENTITY,543572fb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec843736211ea80ee000d3a02ed0d,,0,543572ff736211ea80ee000d3a02ed0d,ENTITY,543572fb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec844736211ea80ee000d3a02ed0d,,0,54357301736211ea80ee000d3a02ed0d,ENTITY,543572fb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec845736211ea80ee000d3a02ed0d,,0,54357303736211ea80ee000d3a02ed0d,ENTITY,543572fb736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec846736211ea80ee000d3a02ed0d,,0,5435732c736211ea80ee000d3a02ed0d,ENTITY,5435732a736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:30,,0,2020-03-31T15:18:30,dcfec847736211ea80ee000d3a02ed0d,,0,5435732e736211ea80ee000d3a02ed0d,ENTITY,5435732a736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
