@TYPE,@DESCRIPTION,@VALIDATED,@WHENCREATED,@NAME,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,2018-05-01T03:11:50,,0,0,1899-12-30T00:00:00,0,5e0d9f314ced11e880d5000d3a02ed0d,2018-05-01T03:11:50,f65a6dad41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:50,,0,0,1899-12-30T00:00:00,0,5e0d9f324ced11e880d5000d3a02ed0d,2018-05-01T03:11:50,024c5c9041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,81eeb89ccb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:51,,0,0,1899-12-30T00:00:00,0,5e0d9f334ced11e880d5000d3a02ed0d,2018-05-01T03:11:51,fc5350e441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e888cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:51,,0,0,1899-12-30T00:00:00,0,5e0d9f344ced11e880d5000d3a02ed0d,2018-05-01T03:11:51,fc5350a941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:52,,0,0,1899-12-30T00:00:00,0,6430cd1d4ced11e880d5000d3a02ed0d,2018-05-01T03:11:52,fc53512d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e86ccb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:52,,0,0,1899-12-30T00:00:00,0,6430cd1e4ced11e880d5000d3a02ed0d,2018-05-01T03:11:52,024c5cbf41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:53,,0,0,1899-12-30T00:00:00,0,6430cd1f4ced11e880d5000d3a02ed0d,2018-05-01T03:11:53,024c5cc841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:53,,0,0,1899-12-30T00:00:00,0,6430cd204ced11e880d5000d3a02ed0d,2018-05-01T03:11:53,f65a6d7641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:54,,0,0,1899-12-30T00:00:00,0,6430cd214ced11e880d5000d3a02ed0d,2018-05-01T03:11:54,024c5cca41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:54,,0,0,1899-12-30T00:00:00,0,6430cd224ced11e880d5000d3a02ed0d,2018-05-01T03:11:54,024c5ccc41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7600199acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
