@WHENUPDATED,@WHENCREATED,@TEMPLATE,@NAME,@ALLOWAUTOMATICDELETION,@TYPE,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@VALIDATED,@DATEVALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
2015-05-07T11:23:43,2015-05-07T11:23:43,0,,0,,,ca201167f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,16b60d7c5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:44,2015-05-07T11:23:44,0,,0,,,ca201169f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,1d6286405e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:44,2015-05-07T11:23:44,0,,0,,,ca20116bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,240f74365e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:45,2015-05-07T11:23:45,0,,0,,,ca20116df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,2aebd74d5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:45,2015-05-07T11:23:45,0,,0,,,d01844b6f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,31f788765e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:46,2015-05-07T11:23:46,0,,0,,,d01844b8f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,3917d35d5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:47,2015-05-07T11:23:47,0,,0,,,d01844baf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,3f98f5bf5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:47,2015-05-07T11:23:47,0,,0,,,d01844bbf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,46460ac55e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:48,2015-05-07T11:23:48,0,,0,,,d01844bdf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,4cf2d1aa5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:49,2015-05-07T11:23:49,0,,0,,,d01844bff4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,cd0c299d5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,5328e0345e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
