@TYPE,@UNIQUEIDENTIFIER,@ALLOWAUTOMATICDELETION,@WHENUPDATED,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,d6212262f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212265f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212261f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212266f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212269f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621224ef4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621226bf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d621226ef4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621226af4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212270f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212273f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621226ff4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212275f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212278f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212274f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621227af4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d621227df4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212279f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621227ff4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212282f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621227ef4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212284f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212287f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212283f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212289f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d621228cf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212288f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621228ef4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212292f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621228df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212294f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d6212297f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212293f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212299f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d621229cf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212298f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621229ef4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d62122a5f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621229df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62122a6f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d62122a9f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621229df4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62122abf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d62122aef4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62122aaf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d62122aff4dd11e4aa85002590713bc0,0,2015-05-07T11:24:05,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:05,,0,d62122b2f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d62122aaf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
