@QUEUEPRIORITY,@GROWTHTYPE,@TYPE,@INTERNALEXTERNAL,@DESCRIPTION,@NAME,@EXPORTFLAG,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@TRIGGER,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Isolation Customer Problem,0,0,2012-02-01T14:59:56,2012-02-01T15:00:20,0,4f4494464d0f11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Service Performance Data,0,0,2002-10-22T14:34:19,2002-10-22T14:35:12,0,5196ccaee5ca11d6aeea08004605e039,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Start Isolate Customer Problem,0,0,2012-02-01T14:52:58,2012-02-01T14:53:04,0,566310cb4d0e11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Report Service Problem,0,0,2012-02-02T18:12:14,2012-02-02T18:12:26,0,56cbab574df311e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Create Customer Problem Report,0,0,2012-02-01T13:05:52,2012-02-01T13:06:02,0,5aa19f934cff11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Market Sales Domain,0,0,2022-03-01T14:53:30,2022-03-01T14:53:59,0,5ac7bf60996f11ec94f7000d3a0ebc70,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Event Occurs,0,0,2013-07-04T08:45:27,2013-07-04T08:45:47,0,5f0e71c3e4b811e2be9650b7c3954f49,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Customer Order Confirmed,0,0,2004-04-04T16:00:05,2004-04-04T16:00:38,0,5f495b10864011d8bc200003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Customer  accepts design,0,0,2004-03-17T17:33:05,2004-03-17T17:35:36,0,62097c61782811d8bc1d0003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Service Orders Statuses Notification,0,0,2004-04-04T16:21:39,2004-04-04T16:23:04,0,62cb9e02864311d8bc200003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
