@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@NAME,@DESCRIPTION,@VALIDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,,0,0,26f8746d5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8746e5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874705dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874715dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874735dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874745dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874765dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874775dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874795dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8747a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8747c5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8747d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8747f5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874805dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874825dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874835dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874855dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874865dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874885dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:07,2021-12-15T17:48:07,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874895dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
