@TEMPLATE,@WHENUPDATED,@ALLOWAUTOMATICDELETION,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,2020-08-05T17:32:38,0,0,a435ed1ed74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73cb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed1fd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d734b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed20d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d736b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed21d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73fb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed22d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d738b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed23d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d737b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed24d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d811b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed25d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d814b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed26d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d819b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed27d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d810b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed28d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d815b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed29d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d816b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2ad74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d817b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2bd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d818b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2cd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407f4b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2dd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407e4b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2ed74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407dcb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed2fd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407deb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed30d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407f3b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed31d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407ddb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed32d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407efb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed33d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407e3b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:39,0,0,a435ed34d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:39,,0,702b50a2d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,171407dbb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
