@EXPORTFLAG,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENCREATED,@NAME,@TEMPLATE,@DESCRIPTION,@DATEVALIDATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,0,2018-05-01T03:16:50,,0,,1899-12-30T00:00:00,2018-05-01T03:16:50,145cc47e4cee11e880d5000d3a02ed0d,,202b9df941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dfb41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:51,,0,,1899-12-30T00:00:00,2018-05-01T03:16:51,145cc4804cee11e880d5000d3a02ed0d,,202b9dd941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dff41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:52,,0,,1899-12-30T00:00:00,2018-05-01T03:16:52,145cc4824cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e0341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:53,,0,,1899-12-30T00:00:00,2018-05-01T03:16:53,145cc4844cee11e880d5000d3a02ed0d,,202b9e0941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e0b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:54,,0,,1899-12-30T00:00:00,2018-05-01T03:16:54,145cc4864cee11e880d5000d3a02ed0d,,202b9e0f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e1141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:55,,0,,1899-12-30T00:00:00,2018-05-01T03:16:55,145cc4884cee11e880d5000d3a02ed0d,,202b9e1541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e1741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:56,,0,,1899-12-30T00:00:00,2018-05-01T03:16:56,145cc48a4cee11e880d5000d3a02ed0d,,202b9e1541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e1b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:57,,0,,1899-12-30T00:00:00,2018-05-01T03:16:57,145cc48c4cee11e880d5000d3a02ed0d,,202b9e1e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9e2041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:40,,0,,1899-12-30T00:00:00,2018-05-01T03:09:40,15c5dd934ced11e880d5000d3a02ed0d,,f65a6d9a41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f65a6d9d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:42,,0,,1899-12-30T00:00:00,2018-05-01T03:09:42,15c5dd964ced11e880d5000d3a02ed0d,,f65a6ce441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f65a6da241a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
