@DESCRIPTION,@TEMPLATE,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@TYPE,@WHENCREATED,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f0eb1711eb8103000d3a02ed0d,,0,262cf7ad41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f2eb1711eb8103000d3a02ed0d,,0,262cf7b141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed402ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f4eb1711eb8103000d3a02ed0d,,0,262cf7b141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f6eb1711eb8103000d3a02ed0d,,0,262cf7be41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b3dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f7eb1711eb8103000d3a02ed0d,,0,262cf7be41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,1bbef72aad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558f9eb1711eb8103000d3a02ed0d,,0,262cf7c641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1b6ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558fbeb1711eb8103000d3a02ed0d,,0,262cf7cb41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1b6ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558fdeb1711eb8103000d3a02ed0d,,0,262cf7d341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b45ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,586558ffeb1711eb8103000d3a02ed0d,,0,262cf7d841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b3dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,58655901eb1711eb8103000d3a02ed0d,,0,262cf7dc41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b4aea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,58655903eb1711eb8103000d3a02ed0d,,0,262cf7e141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b4aea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:10,,2021-07-22T18:05:10,0,58655905eb1711eb8103000d3a02ed0d,,0,262cf7ea41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b4aea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655907eb1711eb8103000d3a02ed0d,,0,262cf80541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed43dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655909eb1711eb8103000d3a02ed0d,,0,262cf80f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed43dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,5865590beb1711eb8103000d3a02ed0d,,0,262cf81441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed43dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,5865590deb1711eb8103000d3a02ed0d,,0,262cf81941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed43dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,5865590feb1711eb8103000d3a02ed0d,,0,262cf81e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed43dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655911eb1711eb8103000d3a02ed0d,,0,262cf83a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1d4ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655913eb1711eb8103000d3a02ed0d,,0,2c24587941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b5dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655915eb1711eb8103000d3a02ed0d,,0,2c24588141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b5dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655917eb1711eb8103000d3a02ed0d,,0,2c2458cc41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b62ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,58655919eb1711eb8103000d3a02ed0d,,0,2c2458d041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b62ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:11,,2021-07-22T18:05:11,0,5865591beb1711eb8103000d3a02ed0d,,0,2c2458e341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b67ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,5865591deb1711eb8103000d3a02ed0d,,0,2c2458fd41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b6aea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,5865591feb1711eb8103000d3a02ed0d,,0,2c24593c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,13bf0b6dea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655921eb1711eb8103000d3a02ed0d,,0,2c24595241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed496ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655923eb1711eb8103000d3a02ed0d,,0,2c24595741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed496ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:12,,2021-07-22T18:05:12,0,58655925eb1711eb8103000d3a02ed0d,,0,2c24595b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed496ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
