@ALLOWAUTOMATICDELETION,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@NAME,@DATEVALIDATED,@TEMPLATE,@VALIDATED,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,f2b7bbf16f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7960215e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062cc5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf26f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7960515e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf36f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7960815e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf46f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7960b15e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf56f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7960e15e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf66f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e7961115e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062db5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf76f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,caf7cab7283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062ab5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf86f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,caf7caba283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062ab5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf96f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,caf7cabd283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b15dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbfa6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,caf7cac0283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b15dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbfb6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cac3283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b15dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbfc6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cb01283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbfd6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cb04283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbfe6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,caf7cb0b283d11e6bf18002590713bc0,FRAMEWORXFUNCTION,2cf062b45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
