@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@WHENCREATED,@VALIDATED,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@DESCRIPTION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,ec0959a716f711e2b75d002564cb911c,2012-10-15T12:41:28,,2012-10-15T12:41:28,0,0,1899-12-30T00:00:00,0,,,439f11f112d311e29cfff04da23a38c8,TAMAPPLICATION,e1ba9d1939d811db9075004096a6c0fb,TAMAPPLICATION,8,8,8,,,
0,ecfb4d33b0a911e2a792002590713bc0,2013-04-29T02:51:13,,2013-04-29T02:51:13,0,0,1899-12-30T00:00:00,0,,,3f521ae069da11dfa9310026b9bf6441,TAMAPPLICATION,a7af4562130111ddad71001e378839ac,TAMAPPLICATION,6,6,6,,,
0,efc165cfb09c11e2a792002590713bc0,2013-04-29T01:18:07,,2013-04-29T01:18:07,0,0,1899-12-30T00:00:00,0,,,e19f682667ad11e1a5f7002564cb911c,TAMAPPLICATION,1185072567ad11e1a5f7002564cb911c,TAMAPPLICATION,6,6,6,,,
0,f0e86ab4afaa11e2a7350026b9bf6441,2013-04-27T20:25:39,,2013-04-27T20:25:39,0,0,1899-12-30T00:00:00,0,,,02c2c61b699a11e1a5f7002564cb911c,TAMAPPLICATION,1c395440693b11e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,f0e86ab5afaa11e2a7350026b9bf6441,2013-04-27T20:25:48,,2013-04-27T20:25:48,0,0,1899-12-30T00:00:00,0,,,d80598a8699911e1a5f7002564cb911c,TAMAPPLICATION,1c395440693b11e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,f14e056bafab11e2a7350026b9bf6441,2013-04-27T20:32:50,,2013-04-27T20:32:50,0,-1,1899-12-30T00:00:00,0,,,d8a35a2d695711e1a5f7002564cb911c,TAMAPPLICATION,f55bb669695911e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,f244d6914e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,b2b8f86e4e3311df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f244d6924e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,98aaf8e44e3311df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f244d6934e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,7b56c2c44e3311df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f244d6944e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,ad4dbd544e3211df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f244d6954e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,7f25e0d14e3211df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f244d6964e3311df874a0026b9bf6441,2010-04-22T13:24:47,,2010-04-22T13:24:47,0,-1,1899-12-30T00:00:00,0,,,a8c9e5294e2f11df874a0026b9bf6441,TAMAPPLICATION,24c2d9ef817811db9401000e3573f0d3,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f3d96f0bafb211e2a7350026b9bf6441,2013-04-27T21:23:00,,2013-04-27T21:23:00,0,0,1899-12-30T00:00:00,0,,,5546bf03699311e1a5f7002564cb911c,TAMAPPLICATION,62547c07699211e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,f5550a1c1eb311e0b75a002564cb911c,2011-01-12T20:25:10,,2011-01-12T20:25:10,0,-1,1899-12-30T00:00:00,0,,,7e4738d81eb311e0b75a002564cb911c,TAMAPPLICATION,af2b09480ea611e0bc42002564cb911c,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f5550a1d1eb311e0b75a002564cb911c,2011-01-12T20:25:10,,2011-01-12T20:25:10,0,-1,1899-12-30T00:00:00,0,,,46dc507d1eb311e0b75a002564cb911c,TAMAPPLICATION,af2b09480ea611e0bc42002564cb911c,TAMAPPLICATION,,,,ADMIN,ADMIN,ADMIN
0,f93cda5fa83b11e2be8ef04da23a38c8,2013-04-18T09:23:22,,2013-04-18T09:23:22,0,0,1899-12-30T00:00:00,0,,,c1d4bceea7a811e2a0d5f04da23a38c8,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,fb6ef162afab11e2a7350026b9bf6441,2013-04-27T20:33:07,,2013-04-27T20:33:07,0,-1,1899-12-30T00:00:00,0,,,e9177a0a695711e1a5f7002564cb911c,TAMAPPLICATION,f55bb669695911e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,fe0a60ceafb211e2a7350026b9bf6441,2013-04-27T21:23:17,,2013-04-27T21:23:17,0,0,1899-12-30T00:00:00,0,,,5cb0700c699311e1a5f7002564cb911c,TAMAPPLICATION,62547c07699211e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
