@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:08,2016-06-01T15:13:08,a0299c5a283d11e6bf18002590713bc0,59974c81f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bebd53cf147611e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:08,2016-06-01T15:13:08,a0299c5c283d11e6bf18002590713bc0,59974c84f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,bebd53cf147611e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:10,2016-06-01T15:13:10,a0299c64283d11e6bf18002590713bc0,59974c90f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:11,2016-06-01T15:13:11,a0299c66283d11e6bf18002590713bc0,59974c93f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:12,2016-06-01T15:13:12,a0299c6a283d11e6bf18002590713bc0,59974c99f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:13,2016-06-01T15:13:13,a0299c6c283d11e6bf18002590713bc0,59974c9cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd2166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:13,2016-06-01T15:13:13,a0299c6e283d11e6bf18002590713bc0,59974c9ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd2166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:14,2016-06-01T15:13:14,a0299c70283d11e6bf18002590713bc0,59974ca2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd2166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2021-05-18T14:16:28,2021-05-18T14:16:28,a2130627b7e311eb8100000d3a02ed0d,5e5be00d4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,1699ae7c306411df955c001de065480b,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:14,2016-06-01T15:13:14,a66d2108283d11e6bf18002590713bc0,5f91defcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,44cf8fd2166e11ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
