@NAME,@TEMPLATE,@TYPE,@CONFORMANCESCORE,@WHENCREATED,@CONFORMANCEVERSION,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DESCRIPTION,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,41384ea8a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,18a1b1514ee511e780ca000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,5,2014-03-17T09:45:08,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:45:11,421cc78badeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,fad317400ba711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
,0,,4.7,2014-03-17T09:45:14,f62191707eca11e394686817294aebff,0,1899-12-30T00:00:00,0,0,,2014-03-17T09:45:17,421cc78cadeb11e3865d6817294aebff,c33ff241adea11e3865d6817294aebff,ISSUE,fad317410ba711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
,0,,4.8,2014-04-18T00:53:37,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:53:40,431f6cc7c6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,760019efcb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,4.3,2014-04-18T00:53:43,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T00:53:46,431f6cc8c6c611e3b45c6817294aebff,f16b28b3c6c511e3b45c6817294aebff,ISSUE,7600192bcb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:08:00,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:08:03,459c020dc6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,760019f1cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,5,2014-04-18T01:08:06,f16b28b6c6c511e3b45c6817294aebff,0,1899-12-30T00:00:00,0,0,,2014-04-18T01:08:09,459c020ec6c811e3b45c6817294aebff,d8780662c6c711e3b45c6817294aebff,ISSUE,7001e9b3cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,473a1d2ea7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8d21283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,473a1d2fa7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8d0b283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,473a1d31a7e811e980e5000d3a02ed0d,473a1d30a7e811e980e5000d3a02ed0d,ISSUE,f2490b2d9c0a11e980e4000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
