@NAME,@WHENCREATED,@TYPE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@TEMPLATE,@DATEVALIDATED,@WHENUPDATED,@DESCRIPTION,@VALIDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,2009-03-27T15:27:13,,-1,0,0,1899-12-30T00:00:00,2009-03-27T15:27:13,,0,5cb1a0b01adb11deb424000e35d948d7,da0152dc0b5a11dd870a001e378839ac,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2010-04-22T23:24:01,,-1,0,0,1899-12-30T00:00:00,2010-04-22T23:24:01,,0,5e34e8304e5511dfb436000e35d948d7,760019f7cb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2016-12-07T10:08:21,,-1,0,0,1899-12-30T00:00:00,2016-12-07T10:08:21,,0,5ef1abc3bc9711e6bf18002590713bc0,7001e8c2cb2b11db9435000e3573f0d3,ETOMPROCESS,2929bbb0eadf11e19647984be1bad6a0,ORGANIZATION,,,,8,8,8
,2009-04-05T23:54:49,,-1,0,0,1899-12-30T00:00:00,2009-04-05T23:54:49,,0,619c99c0222c11deb424000e35d948d7,76001954cb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-03-27T12:14:06,,-1,0,0,1899-12-30T00:00:00,2009-03-27T12:14:06,,0,6270b0201ac011deb424000e35d948d7,760019f3cb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-01T15:38:35,,-1,0,0,1899-12-30T00:00:00,2009-04-01T15:38:35,,0,656415a01ec211deb424000e35d948d7,760019dfcb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2008-09-23T17:13:05,,-1,0,0,1899-12-30T00:00:00,2008-09-23T17:13:05,,0,693fab3489b411dd9429001de065480b,4422ca600bc011dd870a001e378839ac,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN,,,
,2009-04-06T18:53:13,,-1,0,0,1899-12-30T00:00:00,2009-04-06T18:53:13,,0,6a2dbf9022cb11deb424000e35d948d7,7bf6a58fcb2b11db9435000e3573f0d3,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-03-31T18:03:04,,-1,0,0,1899-12-30T00:00:00,2009-03-31T18:03:04,,0,6a81ff801e0d11deb424000e35d948d7,7001e8dccb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-03-31T18:03:08,,-1,0,0,1899-12-30T00:00:00,2009-03-31T18:03:08,,0,6a81ff811e0d11deb424000e35d948d7,7001e8b3cb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-03-27T10:27:00,,-1,0,0,1899-12-30T00:00:00,2009-03-27T10:27:00,,0,6bcdce001ab111deb424000e35d948d7,fad3173d0ba711dd870a001e378839ac,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-17T11:23:36,,-1,0,0,1899-12-30T00:00:00,2009-04-17T11:23:36,,0,6ce959202b3111deb424000e35d948d7,7001e8c2cb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2007-03-05T10:08:58,,0,0,0,1899-12-30T00:00:00,2007-03-05T10:08:58,,0,7001e843cb2b11db9435000e3573f0d3,7001e842cb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2007-03-05T10:08:59,,0,0,0,1899-12-30T00:00:00,2007-03-05T10:08:59,,0,7001e849cb2b11db9435000e3573f0d3,7001e848cb2b11db9435000e3573f0d3,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2007-03-05T10:09:03,,0,0,0,1899-12-30T00:00:00,2007-03-05T10:09:03,,0,7001e937cb2b11db9435000e3573f0d3,7001e936cb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2007-03-05T10:09:05,,0,0,0,1899-12-30T00:00:00,2007-03-05T10:09:05,,0,7001e9aecb2b11db9435000e3573f0d3,7001e8a8cb2b11db9435000e3573f0d3,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
