@DESCRIPTION,@EXPORTFLAG,@VALIDATED,@DATEVALIDATED,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@CWTOTALCOMMENT,@TYPE,@UNIQUEIDENTIFIER,@NAME,@CWAVERAGERATING,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:44,2021-07-21T14:29:44,0.0,,13bf0b92ea3011eb8103000d3a02ed0d,Dealer,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:44,2021-07-21T14:29:44,0.0,,13bf0b99ea3011eb8103000d3a02ed0d,Margin,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:47,2021-07-21T14:29:47,0.0,,13bf0bd4ea3011eb8103000d3a02ed0d,Application,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:47,2021-07-21T14:29:47,0.0,,13bf0bddea3011eb8103000d3a02ed0d,Project,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:49,2021-07-21T14:29:49,0.0,,19b8615eea3011eb8103000d3a02ed0d,Investment,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:49,2021-07-21T14:29:49,0.0,,19b86165ea3011eb8103000d3a02ed0d,Brand,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:51,2021-07-21T14:29:51,0.0,,19b861a1ea3011eb8103000d3a02ed0d,IT Management,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-07-21T14:29:51,2021-07-21T14:29:51,0.0,,19b861a5ea3011eb8103000d3a02ed0d,Carbon,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:42,2021-05-04T18:32:42,0.0,,1bbef649ad0711eb80ff000d3a02ed0d,Account Receivable,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:43,2021-05-04T18:32:43,0.0,,1bbef64ead0711eb80ff000d3a02ed0d,Assurance,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:43,2021-05-04T18:32:43,0.0,,1bbef657ad0711eb80ff000d3a02ed0d,Bill Processing,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:43,2021-05-04T18:32:43,0.0,,1bbef65ead0711eb80ff000d3a02ed0d,Bill Processing Fault,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:43,2021-05-04T18:32:43,0.0,,1bbef663ad0711eb80ff000d3a02ed0d,Billing Charge,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:44,2021-05-04T18:32:44,0.0,,1bbef66aad0711eb80ff000d3a02ed0d,Billing Error,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:44,2021-05-04T18:32:44,0.0,,1bbef66fad0711eb80ff000d3a02ed0d,Billing Error Resolution,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:44,2021-05-04T18:32:44,0.0,,1bbef672ad0711eb80ff000d3a02ed0d,Billing Management,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:44,2021-05-04T18:32:44,0.0,,1bbef679ad0711eb80ff000d3a02ed0d,Billing Process Outage,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:44,2021-05-04T18:32:44,0.0,,1bbef67ead0711eb80ff000d3a02ed0d,Billing Suspense File,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:45,2021-05-04T18:32:45,0.0,,1bbef681ad0711eb80ff000d3a02ed0d,Capex,0.0,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,0,2021-05-04T18:32:45,2021-05-04T18:32:45,0.0,,1bbef686ad0711eb80ff000d3a02ed0d,Collectable Debt Written Off,0.0,DFREED,DFREED,DFREED
