@NAME,@TYPE,@TEMPLATE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@WHENUPDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f8ab3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c84f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f8eb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,59974c87f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:24,1899-12-30T00:00:00,daf67f95b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:24,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c93f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:24,1899-12-30T00:00:00,daf67f98b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:24,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c9cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:25,1899-12-30T00:00:00,daf67f9bb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:25,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c9ff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:25,1899-12-30T00:00:00,daf67f9eb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:25,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974ca2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:25,1899-12-30T00:00:00,daf67fa1b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:25,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91defcf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:25,1899-12-30T00:00:00,daf67fa4b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:25,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91defff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:25,1899-12-30T00:00:00,daf67fa7b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:25,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df02f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:26,1899-12-30T00:00:00,daf67faab3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:26,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df08f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:26,1899-12-30T00:00:00,daf67fadb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:26,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df0ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:26,1899-12-30T00:00:00,daf67fb0b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:26,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,5f91df11f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
